1. Посмотреть где я                                                                      |pwd
2. Создать папку                                                                         |mkdir day1
3. Зайти в папку                                                                         |cd day1
4. Создать 3 папки                                                                       |mkdir night1 night2 night3
5. Зайти в любоую папку                                                                  |cd night1
6. Создать 5 файлов (3 txt, 2 json)                                                      |touch 1.txt 2.txt 3.txt 4.json 5.json
7. Создать 3 папки                                                                       |mkdir start1 start2 start3
8. Вывести список содержимого папки                                                      |ls
9. + Открыть любой txt файл                                                              |vim 1.txt
10. + написать туда что-нибудь, любой текст.                                             |insert
11. + сохранить и выйти.                                                                 |:wq
12. Выйти из папки на уровень выше                                                       |cd..
—
13. переместить любые 2 файла, которые вы создали, в любую другую папку.                 |mv 1.txt /home/user/
14. скопировать любые 2 файла, которые вы создали, в любую другую папку.                 |cp 2.txt /home/user/
15. Найти файл по имени                                                                  |find -name 5.json
16. просмотреть содержимое в реальном времени (команда grep) изучите как она работает.   |
17. вывести несколько первых строк из текстового файла                                   |head -4.txt
18. вывести несколько последних строк из текстового файла                                |tail -4.txt
19. просмотреть содержимое длинного файла (команда less) изучите как она работает.       |cut 4.txt
20. вывести дату и время                                                                 |date
